player_name,death_eco_overall,eco_vs_rhb,eco_vs_lhb
JJ Smit,7.71,7.71,7.71
T Lungameni,9.49,9.49,9.49
CAJ Meschede,6.0,6.0,6.0
Izatullah Dawlatzai,5.73,5.73,5.73
Ahmed Wardak,5.89,5.89,5.89
LC Le Tissier,5.5,5.5,5.5
ACF Stokes,6.0,6.0,6.0
HAM Shah,5.3,5.3,5.3
OD Hald,6.8,6.8,6.8
J Jojo,6.29,6.29,6.29
B Ward,7.8,7.8,7.8
EJB Miles,7.55,7.55,7.55
DG Blampied,6.79,6.79,6.79
CW Perchard,7.7,7.7,7.7
AW Hawkins-Kay,10.42,10.42,10.42
Hayatullah Niazi,7.89,7.89,7.89
Raza Iqbal,5.33,5.33,5.33
Tafseer Ali,9.0,9.0,9.0
Junaid Sheikh,5.14,5.14,5.14
SA Ahmad,6.56,6.56,6.56
Anique Uddin,8.0,8.0,8.0
TCW Veillard,3.0,3.0,3.0
DR Hooper,8.64,8.64,8.64
W Peatfield,6.17,6.17,6.17
S Arachchige,6.67,6.67,6.67
Rakibul Hasan,8.5,8.5,8.5
GRD Munasinghe,8.09,8.09,8.09
S Waqas Ahmed,7.75,7.75,7.75
BDH Stevens,7.94,7.94,7.94
Asad Mohammad,8.0,8.0,8.0
Bashir Shah,6.0,6.0,6.0
Delawar Khan,8.35,8.35,8.35
Baljit Singh,10.0,10.0,10.0
Jaspreet Singh,6.93,6.93,6.93
Omar Hayat,10.6,10.6,10.6
Vichanath Singh,8.67,8.67,8.67
Z Hoque,7.0,7.0,7.0
M Faheem,8.62,8.62,8.62
C Pengkumta,7.86,7.86,7.86
Umar Adam,7.82,7.82,7.82
MNR Cooray,5.0,5.0,5.0
Mohamed Mahfooz,7.2,7.2,7.2
Ibrahim Hassan,8.38,8.38,8.38
LN Rajbanshi,5.71,5.71,5.71
S Lamichhane,6.3,6.3,6.3
Fitri Sham,8.11,8.11,8.11
Virandeep Singh,6.52,6.52,6.52
Anwar Rahman,8.6,8.6,8.6
S Muniandy,10.18,10.18,10.18
A Bohara,8.15,8.15,8.15
SF Mire,15.9,15.9,15.9
MR Adair,8.71,8.71,8.71
Iqbal Hussain,6.63,6.63,6.63
Nouman Sarwar,11.33,11.33,11.33
Amjad Mahboob,9.75,9.75,9.75
Janak Prakash,9.18,9.18,9.18
Shiraz Khan,7.35,7.35,7.35
Mohammad Ahsan,13.44,13.44,13.44
Ilyas Ahmed,8.22,8.22,8.22
Syed Aziz,8.35,8.35,8.35
Pavandeep Singh,5.56,5.56,5.56
M Syahadat Ramli,4.29,4.29,4.29
A Krishna,9.0,9.0,9.0
Muhammad Kashif,7.76,7.76,7.76
Mohammed Nadeem,7.5,7.5,7.5
Gayan Munaweera,9.56,9.56,9.56
N Pathan,11.5,11.5,11.5
Md Shafiqul Haque,10.0,10.0,10.0
Navdeep Saini,7.78,7.78,7.78
KMA Paul,9.98,9.98,9.98
O Thomas,10.29,10.29,10.29
KH Pandya,9.25,9.25,9.25
PRP Boissevain,10.0,10.0,10.0
Sikander Zulfiqar,11.5,11.5,11.5
Waheed Ahmed,8.23,8.23,8.23
Qadeer Ahmed,11.31,11.31,11.31
VJ Kingma,9.35,9.35,9.35
TS Braat,11.76,11.76,11.76
RP Burl,7.31,7.31,7.31
FJ Klaassen,8.82,8.82,8.82
HR Walsh,8.42,8.42,8.42
CJ Gannon,8.0,8.0,8.0
SN Netravalkar,6.9,6.9,6.9
MO Jones,6.29,6.29,6.29
KS Leverock,7.95,7.95,7.95
JE Pitcher,9.39,9.39,9.39
DMW Rawlins,5.66,5.66,5.66
T Taylor,7.92,7.92,7.92
C Wright,8.37,8.37,8.37
KR Ebanks,9.2,9.2,9.2
N Dutta,7.59,7.59,7.59
D Heyliger,8.78,8.78,8.78
GDR Eranga,6.95,6.95,6.95
NS Dhaliwal,4.62,4.62,4.62
BD Glover,6.63,6.63,6.63
TK Patel,4.5,4.5,4.5
Aaron Jones,7.89,7.89,7.89
NK Patel,8.52,8.52,8.52
OGL Bascome,4.32,4.32,4.32
RJ Trott,7.29,7.29,7.29
GH O'Brien,11.2,11.2,11.2
P Manning,10.57,10.57,10.57
K Gore,3.0,3.0,3.0
Jasdeep Singh,8.76,8.76,8.76
Saad Bin Zafar,6.59,6.59,6.59
DC Stovell,9.23,9.23,9.23
AC Douglas,4.53,4.53,4.53
AF Ifill,7.96,7.96,7.96
Abdul-Shakoor Rahimzei,10.24,10.24,10.24
RG Mukasa,8.5,8.5,8.5
B Masaba,4.47,4.47,4.47
C Waiswa,11.51,11.51,11.51
DM Nakrani,6.78,6.78,6.78
JK Vifah,6.57,6.57,6.57
IKO Aboagye,7.0,7.0,7.0
G Bakiweyem,7.69,7.69,7.69
DNA Ankrah,12.32,12.32,12.32
V Ateak,11.68,11.68,11.68
SA Okpe,6.9,6.9,6.9
CM Akachukwu,8.46,8.46,8.46
IO Okpe,7.19,7.19,7.19
Mohameed Taiwo,7.17,7.17,7.17
Riazat Ali Shah,8.57,8.57,8.57
LN Oluoch,8.73,8.73,8.73
SHA Rance,9.8,9.8,9.8
PWH de Silva,7.49,7.49,7.49
SC Kuggeleijn,8.3,8.3,8.3
PADLR Sandakan,4.19,4.19,4.19
C Viljoen,7.27,7.27,7.27
MG Erasmus,7.09,7.09,7.09
S Snater,8.67,8.67,8.67
C Floyd,17.0,17.0,17.0
A Neill,8.21,8.21,8.21
Washington Sundar,6.28,6.28,6.28
DL Chahar,9.0,9.0,9.0
BC Fortuin,7.0,7.0,7.0
SR Thompson,9.33,9.33,9.33
GJ Delany,7.67,7.67,7.67
DC Delany,8.21,8.21,8.21
